Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Sporomusa aerivorans	16	12	0	72	11	29	0	25	0	0	0	0
Sporomusa ovata	20	0	0	12	0	8	0	0	0	0	18	50
Sporomusa termitida	9	17	22	28	0	0	0	6	0	0	0	0
Sporomusa rhizae	11	0	32	0	0	30	0	5	0	0	0	7
Phascolarctobacterium faecium	16	28	22	29	296	192510	89004	104033	34	49	135506	177759
Phascolarctobacterium sp. Marseille-Q4147	16	27	16	33	149	104	94	179	3422	25862	55	180
Phascolarctobacterium succinatutens	21	34	19	29	209	12	50	107	3010	23300	21	21
Acidaminococcus timonensis	8	0	0	0	15	16	127	223	2052	625	0	29
Parvimonas micra	70	310	111	101	18	39	46	60	26	30	1095	342
Parvimonas sp. G1604	20	46	6	0	0	93	0	0	0	0	26	0
Peptoniphilus harei	44	10	0	0	14	22	0	0	0	10	22	27
Peptoniphilus genitalis	13	21	0	22	15	35	0	14	13	0	135	94
Peptoniphilus lacrimalis	8	22	20	7	26	20	0	9	0	0	248	76
Peptoniphilus equinus	6	10	0	0	0	0	6	6	6	0	9	29
Helcococcus ovis	43	57	14	0	6	47	40	36	7	8	17	102
Finegoldia magna	26	96	98	34	19	90	39	92	23	16	321	265
Murdochiella vaginalis	22	59	24	26	65	137	268	385	79	29	911	287
Gottschalkia acidurici	46	35	7	0	43	23	9	12	0	5	11	47
Tissierella sp. Yu-01	13	6	0	11	43	34	67	32	14	7	0	0
Caloranaerobacter azorensis	13	14	0	0	0	27	0	10	0	0	0	0
Acidilutibacter cellobiosedens	7	0	38	8	7	6	0	8	0	0	25	12
Bifidobacterium adolescentis	6434	2124	270	137	2565	53	739	326	2483	2629	68061	97749
Bifidobacterium longum	3793	3011	5237	6019	2766	479	1698	1492	675	878	61591	36581
Bifidobacterium breve	223	50	326	319	667	25	37	24	196	141	454	531
Bifidobacterium pseudocatenulatum	52	25	44	21	9	114	140	35	227	207	895	892
Bifidobacterium catenulatum	46	38	47	42	37	15	19	26	1349	1032	249	331
Bifidobacterium bifidum	157	146	396	190	49	33	34	47	107	167	376	680
Bifidobacterium angulatum	22	0	0	0	0	5	5	6	16	5	107	192
Bifidobacterium dentium	7	5	0	0	0	0	0	0	0	7	40	91
Streptomyces sp. NBC_01591	40	59	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. Li-HN-5-11	11	0	0	39	0	0	0	0	39	39	0	0
Streptomyces sp. NBC_01003	22	0	0	0	0	0	0	0	0	0	0	0
Streptomyces celluloflavus	17	8	0	0	0	0	0	0	0	0	22	0
Streptomyces vietnamensis	21	59	0	0	0	0	0	0	0	0	0	0
Rothia mucilaginosa	59	23	0	55	27	9	13	5	71	56	118	40
Crystallibacter crystallopoietes	6	0	0	0	0	0	0	0	0	0	6	6
Plantibacter flavus	20	19	0	0	0	0	10	0	0	0	21	0
Corynebacterium durum	18	0	0	8	17	25	5	19	6	13	24	6
Schaalia odontolytica	19	11	0	9	0	0	0	34	38	49	44	30
Schaalia sp. HMT-172	6	0	0	38	0	0	0	26	0	18	8	0
Trueperella pyogenes	23	27	0	0	43	13	66	137	18	47	14	18
Actinomyces pacaensis	8	5	0	0	0	0	0	7	10	7	21	0
Pseudonocardia sp. DSM 110487	15	10	0	0	0	14	0	0	5	12	0	0
Amycolatopsis keratiniphila	14	21	0	0	0	0	0	0	0	0	0	0
Vaginimicrobium propionicum	11	14	0	204	18	22	10	29	9	17	0	20
Propioniciclava soli	13	16	26	7	0	0	0	0	0	0	0	0
Frankia sp. QA3	40	37	0	9	9	0	13	0	5	0	14	34
Candidatus Planktophila sulfonica	5	0	0	0	0	0	0	0	0	0	0	0
Collinsella aerofaciens	4478	3063	280	399	6770	1087	131	6396	2956	12637	12442	29348
Collinsella sp. i05-0019-G5	662	354	0	0	1099	173	0	1029	559	2039	1334	3058
Enorma phocaeensis	6	0	0	0	6	0	18	23	8	0	19	51
Fannyhessea vaginae	15	26	16	70	23	11	8	36	26	31	16	51
Lancefieldella parvula	6	12	0	0	6	14	0	10	11	11	22	0
Adlercreutzia equolifaciens	369	379	0	0	151	58	286	262	0	8	3135	1847
Adlercreutzia hattorii	378	336	0	0	149	201	319	363	0	18	9538	5954
Eggerthella lenta	91	72	388	2471	353	14	27	46	19	161	946	499
Eggerthella guodeyinii	5	0	0	0	0	0	0	0	0	0	27	0
Gordonibacter pamelaeae	41	21	0	23	119	0	7	16	0	45	86	53
Gordonibacter urolithinfaciens	18	9	10	118	21	0	7	9	0	11	347	278
Berryella intestinalis	13	8	0	0	0	0	26	0	16	21	10	9
Raoultibacter timonensis	14	6	0	7	0	0	18	8	5	0	22	11
Slackia heliotrinireducens	8	0	0	0	6	0	11	17	13	51	18	8
Halotia branconii	37	19	0	0	0	0	0	0	0	0	0	0
Rivularia sp. PCC 7116	5	0	0	5	0	0	0	0	0	0	0	0
Prochlorococcus marinus	5	14	0	0	0	36	170	79	0	16	11	19
Spiroplasma gladiatoris	9	0	0	0	0	0	0	22	0	0	9	0
endosymbiont DhMRE of Dentiscutata heterogama	13	0	0	13	0	8	0	0	0	0	0	20
Mesomycoplasma molare	11	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nanosynbacter sp. HMT-352	281	141	10	19	48	58	0	22	235	89	50	48
Candidatus Nanosynbacter sp. TM7-008	90	41	0	0	0	22	0	19	40	21	0	0
Candidatus Minimicrobia vallesae	70	25	0	0	11	12	0	0	37	13	0	0
Candidatus Minimicrobia sp. QA0096	50	31	0	0	14	10	0	0	49	0	0	0
Leptotrichia trevisanii	64	88	0	0	27	0	0	11	0	0	0	0
Leptotrichia sp. oral taxon 221	44	54	0	0	0	0	0	0	0	0	113	85
Leptotrichia wadei	9	16	0	0	20	26	56	35	19	14	0	12
Streptobacillus moniliformis	37	34	0	0	0	0	20	0	0	0	0	0
Sneathia sanguinegens	16	43	0	0	0	0	0	30	0	0	0	0
Sneathia vaginalis	13	0	15	0	0	12	0	11	0	0	5	0
Fusobacterium necrophorum	29	29	44	114	47	166	130	65	89	59	108	39
Fusobacterium animalis	26	0	0	0	0	250	36	91	0	0	0	0
Fusobacterium pseudoperiodonticum	8	13	0	0	47	146	0	32	20	14	9	12
Cetobacterium sp. SF1	15	18	29	8	9	83	6	27	10	34	10	78
Cetobacterium somerae	10	5	17	0	0	23	0	17	10	5	0	0
Pyramidobacter sp. YE332	21	19	0	20	10	0	29	8	15	7	0	0
Pyramidobacter piscolens	13	13	24	90	0	0	51	41	6	8	37	8
Homo sapiens	3487907	71924	28371	28448	119385	34270	38086	860985	267738	29594	80940	159176
Halobellus limi	7	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	14	68596	6	9	0	6818	183154	244943	0	29	7	0
Ferroglobus placidus	7	5	0	0	0	0	0	0	0	0	0	0
Kingevirus communis	53511	75157	0	7	0	1585	482	361	40	0	238592	120837
Diorhovirus copri	40234	13926	0	5	0	2608	0	0	0	0	0	0
Diorhovirus intestinalis	491	156	0	0	0	55	0	0	0	0	0	0
Aurodevirus intestinalis	10	0	0	0	0	0	0	0	0	0	0	0
Kehishuvirus splanchnicus	7	0	0	0	0	0	0	0	0	0	0	0
Eponavirus epona	95	52	0	0	20	0	0	0	0	0	0	0
Skunavirus sv340	40	0	0	0	0	0	0	0	0	0	0	0
Skunavirus CHPC959	40	0	0	0	0	0	0	0	0	0	0	0
Gorganvirus isfahan	16	7	0	5	0	0	0	43	0	0	0	0
Prevotella sp. E13-17	0	7	8	0	0	540	152	462	310	503	0	13
Prevotella corporis	0	19	81	18	369	213	796	1075	1578	1048	1505	911
Prevotella denticola	0	10	0	0	12	355	852	1741	1242	1297	76	145
Xylanibacter ruminicola	0	16	8	11	9	126	306	705	870	947	6	28
Pseudoprevotella muciniphila	0	7	0	0	5	96	250	225	498	979	0	0
Porphyromonas asaccharolytica	0	7	0	0	165	6	17	16	187	84	134	44
Dysgonomonas sp. HDW5B	0	6	0	0	0	0	10	31	0	32	12	0
Draconibacterium halophilum	0	7	0	11	0	87	6	0	16	10	8	0
Halosquirtibacter laminarini	0	6	0	0	0	0	0	0	6	15	0	0
Labilibaculum antarcticum	0	7	0	0	10	13	122	36	0	0	45	67
Alkalitalea saponilacus	0	6	5	5	0	12	27	16	48	34	10	0
Polaribacter litorisediminis	0	5	0	0	0	0	0	0	0	0	0	0
Tenacibaculum sp. A30	0	8	0	0	0	0	0	0	0	0	0	0
Algibacter sp. AS12	0	11	0	0	0	0	0	0	0	0	0	0
Aquimarina sp. AD1	0	17	0	0	0	16	0	0	0	0	0	0
Mariniflexile fucanivorans	0	8	0	0	0	48	0	13	0	6	0	47
Mariniflexile sp. AS56	0	6	0	0	0	0	0	0	0	0	0	0
Salegentibacter salegens	0	5	0	0	0	0	0	0	0	0	0	0
Cellulophaga sp. HaHaR_3_176	0	8	0	0	87	0	0	0	0	0	0	0
Euzebyella marina	0	8	0	0	0	0	0	0	0	0	0	0
Zobellia alginiliquefaciens	0	5	0	0	0	0	85	21	0	0	0	0
Chryseobacterium sp. 3008163	0	7	52	34	40	9	6	0	0	0	39	38
Chryseobacterium indologenes	0	10	0	0	0	34	6	0	13	9	0	0
Elizabethkingia anophelis	0	7	0	0	0	0	0	0	14	17	0	0
Empedobacter brevis	0	6	0	0	0	17	0	0	0	0	0	0
Fluviicola taffensis	0	20	0	0	0	0	0	0	5	0	0	0
Pedobacter heparinus	0	8	0	0	0	0	5	0	0	0	13	10
Sphingobacterium sp. SRCM116780	0	21	0	7	5	0	0	0	93	37	0	0
Sphingobacterium thalpophilum	0	14	0	0	0	0	179	65	0	10	0	0
Mucilaginibacter sp. X4EP1	0	5	0	0	0	0	0	0	0	26	0	0
Ekhidna sp.	0	5	7	7	0	0	0	0	17	17	0	17
Dyadobacter sp. NIV53	0	6	0	0	13	9	6	0	0	0	268	89
Dyadobacter sandarakinus	0	5	0	0	0	0	0	0	0	0	0	0
Fulvivirga maritima	0	7	7	0	0	0	0	0	16	44	0	0
Marivirga salinarum	0	12	6	6	0	11	0	0	0	0	0	30
Rhodocytophaga rosea	0	5	0	0	0	6	13	20	0	0	0	0
Chitinophaga oryzae	0	7	0	0	0	6	0	0	0	0	0	0
Chlorobium phaeovibrioides	0	10	0	0	0	0	0	13	0	0	0	56
Citrobacter portucalensis	0	14	0	0	0	0	0	0	0	0	50	286
Enterobacter cloacae	0	16	0	0	0	0	0	56	0	0	0	60
Cronobacter turicensis	0	11	0	0	0	32	0	12	283	141	0	0
Scandinavium goeteborgense	0	11	0	0	0	0	0	0	0	5	0	5
Pantoea dispersa	0	8	0	0	0	0	0	0	0	0	0	17
Pectobacterium punjabense	0	9	0	0	0	0	0	0	0	0	0	0
Musicola paradisiaca	0	5	0	9	0	0	0	0	0	0	0	0
Rodentibacter haemolyticus	0	10	0	0	0	0	0	9	0	0	0	64
Lonepinella koalarum	0	5	0	0	0	0	0	5	165	0	0	18
Stutzerimonas stutzeri	0	29	0	0	0	0	0	0	30	36	41	0
Entomomonas moraniae	0	5	0	0	0	0	0	0	0	0	5	7
Marinobacter sp. BSs20148	0	12	0	0	0	0	0	0	0	0	0	0
Vibrio fortis	0	31	0	0	0	0	0	0	0	0	0	0
Vibrio sp. B1FLJ16	0	6	5	0	0	0	0	0	0	0	0	0
Vibrio cincinnatiensis	0	17	0	0	0	7	0	0	10	0	0	0
Vibrio natriegens	0	17	0	0	0	0	0	0	0	0	0	0
Vibrio aphrogenes	0	13	0	0	0	0	0	9	0	0	0	82
Vibrio cortegadensis	0	5	0	0	0	0	0	0	0	0	0	0
Aliivibrio salmonicida	0	9	0	0	0	0	0	0	627	207	0	5
Acinetobacter sp. WZC-1	0	28	0	0	0	0	0	0	0	0	0	0
Acinetobacter lactucae	0	58	0	0	0	0	0	0	0	0	0	0
Marinomonas sp. GJ51-6	0	6	0	0	0	0	0	8	0	0	0	0
Neptunomonas concharum	0	8	8	7	48	0	0	0	0	0	7	0
Aliamphritea hakodatensis	0	7	0	0	0	0	0	0	0	5	0	0
Aeromonas sp. CU5	0	17	0	7	0	0	0	0	0	0	0	0
Succinivibrio dextrinosolvens	0	5	17	0	0	8	0	0	44776	16204	0	5
Polynucleobacter sp. MWH-UH35A	0	8	0	0	0	0	0	0	0	0	0	0
Polynucleobacter necessarius	0	6	0	21	0	12	0	17	0	10	0	0
Rhodoferax sp. BAB1	0	10	0	0	0	0	0	0	0	0	0	0
Hydrogenophaga sp. PBC	0	10	0	8	29	0	0	0	0	0	0	20
Achromobacter seleniivolatilans	0	9	0	0	0	0	0	0	14	43	0	0
Neisseria animaloris	0	15	0	0	0	9	0	0	0	0	0	0
Snodgrassella alvi	0	7	0	0	0	11	0	7	397	139	0	0
Vogesella sp. LIG4	0	13	0	0	0	10	30	33	10	0	17	8
Jeongeupia sp. USM3	0	10	0	0	0	0	0	0	0	0	0	0
Azonexus hydrophilus	0	13	0	0	0	0	0	0	0	0	0	0
Sulfuricystis multivorans	0	8	0	0	0	0	0	0	0	0	0	11
Rhizobium etli	0	10	0	0	0	0	10	24	0	0	0	0
Agrobacterium tumefaciens	0	19	0	0	107	42	50	68	52	0	21	42
Neorhizobium sp. CSC1952	0	7	0	0	0	0	0	0	0	0	30	15
Shinella yambaruensis	0	22	0	0	0	0	0	0	0	0	0	0
Methylosinus sp. C49	0	6	0	23	0	0	0	14	0	0	0	0
Roseibium sp.	0	13	0	0	20	10	68	23	13	6	17	9
Bartonella choladocola	0	10	0	0	0	0	0	8	0	0	0	5
Devosia neptuniae	0	7	0	5	0	0	0	0	0	0	0	0
Antarcticirhabdus aurantiaca	0	6	0	0	0	0	0	0	0	0	0	0
Paracoccus zhejiangensis	0	12	0	0	0	0	0	0	0	7	0	12
Tritonibacter mobilis	0	13	0	0	0	0	0	63	0	0	0	131
Parvularcula sp. LCG005	0	38	0	0	0	6	0	0	0	0	0	0
Candidatus Bandiella numerosa	0	5	0	0	5	0	0	24	0	0	0	0
Treponema phagedenis	0	16	0	0	0	0	0	0	5	0	0	0
Treponema succinifaciens	0	10	0	0	22	0	14	20	0	17	0	0
Treponema brennaborense	0	7	0	0	6	0	11	11	0	0	5	6
Treponema saccharophilum	0	5	0	0	0	0	5	0	0	7	10	7
Campylobacter lari	0	36	0	0	67	0	0	0	0	0	0	0
Aliarcobacter cibarius	0	6	0	0	0	0	0	0	0	0	0	0
Arcobacter venerupis	0	16	0	0	0	0	0	0	0	0	0	6
Malaciobacter molluscorum	0	7	0	0	0	0	0	0	0	7	0	0
Hydrogenimonas urashimensis	0	5	0	0	0	0	0	0	0	0	0	0
Bdellovibrio sp. NC01	0	12	0	0	0	0	0	0	0	0	0	0
[Clostridium] colinum	0	13	15	0	7	30	10	23	30	0	20	13
Petrocella atlantisensis	0	11	9	9	17	27	17	25	11	15	43	14
Cellulosilyticum sp. WCF-2	0	32	16	50	15	94	95	42	66	121	21	142
Ruminococcus sp. FMBCY1	0	4901	0	0	0	34216	0	0	0	0	0	0
Ruminococcus sp. FMB-CY1	0	4276	4756	4816	6279	25995	0	0	1875	0	3988	14417
Acetobacterium wieringae	0	16	0	0	11	25	0	0	0	15	25	26
Clostridium sp. 10cd*	0	26	93	113	2391	0	115	0	0	13	748	664
Clostridium formicaceticum	0	6	0	7	5	0	23	7	0	6	0	0
Clostridium aceticum	0	5	0	0	5	0	0	7	0	0	0	5
Caloramator sp. Dgby_cultured_2	0	12	0	0	0	8	5	11	15	0	0	9
Wukongibacter sp. M2B1	0	21	43	21	0	13	18	14	15	10	6	0
Crassaminicella profunda	0	9	9	53	22	7	8	34	5	5	0	10
Levyella massiliensis	0	33	0	0	33	9	0	0	0	0	53	17
Fenollaria massiliensis	0	20	17	0	187	0	5	0	8	21	0	0
Proteiniborus sp. MB09-C3	0	5	0	12	16	17	6	26	13	0	0	10
Thermoanaerobacterium xylanolyticum	0	6	0	0	0	13	12	6	0	0	0	6
Gelria sp. Kuro-4	0	5	0	0	0	0	0	0	0	0	0	0
Halanaerobium praevalens	0	8	0	0	11	59	27	28	10	0	0	78
Zhaonella formicivorans	0	6	0	9	0	0	0	10	6	0	0	0
Helicovermis profundi	0	8	7	10	6	19	5	8	22	0	0	0
Erysipelothrix sp. HDW6C	0	10	0	0	0	0	0	0	0	0	0	0
Allobaculum mucilyticum	0	7	10	6	25	29	29	37	22	0	8	0
Streptococcus intermedius	0	18	0	20	0	20	0	10	9	27	41	25
Streptococcus koreensis	0	35	23	0	0	0	17	21	33	28	297	157
Streptococcus equi	0	9	8	7	71	0	19	30	14	0	15	56
Streptococcus rubneri	0	22	0	24	0	0	0	0	25	0	216	80
Streptococcus tangpeifui	0	10	0	0	0	0	0	0	0	0	0	0
Streptococcus marmotae	0	7	0	0	0	0	0	0	0	0	0	0
Streptococcus ruminicola	0	14	69	38	0	16	0	9	0	0	17	0
Streptococcus pseudopneumoniae	0	12	0	13	0	0	0	0	0	0	19	15
Lactococcus sp.	0	47	59	0	32	74	63	78	0	0	380	201
Lactococcus formosensis	0	5	0	0	0	0	0	0	0	0	115	11
Pseudolactococcus carnosus	0	43	0	13	0	0	0	0	0	15	0	0
Pseudolactococcus piscium	0	8	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus agilis	0	12	0	0	7	110	7	0	0	0	5	0
Leuconostoc mesenteroides	0	87	162	0	19	9	28	0	100	0	0	559
Leuconostoc citreum	0	17	18	0	23	0	0	0	0	0	0	454
Leuconostoc falkenbergense	0	6	0	0	7	0	0	0	0	0	0	0
Lactobacillus iners	0	21	6	8	9	22	0	9	13	9	0	0
Lactobacillus delbrueckii	0	19	0	7	17	46	9	25	262	28	0	0
Lactobacillus panisapium	0	5	0	11	0	5	6	0	0	0	0	0
Lacticaseibacillus paracasei	0	60	37	0	0	16	63	0	271	7	0	7
Companilactobacillus futsaii	0	17	0	11	0	0	0	0	0	0	0	0
Latilactobacillus curvatus	0	10	0	0	0	0	0	0	0	33	0	0
Fructobacillus americanaquae	0	16	0	0	0	0	0	7	0	5	0	54
Fructilactobacillus sanfranciscensis	0	5	0	0	0	0	0	0	0	0	0	0
Lactiplantibacillus pentosus	0	9	0	0	0	0	74	20	10	6	16	166
Acetilactobacillus jinshanensis	0	12	0	0	0	0	0	0	0	0	0	0
Vagococcus intermedius	0	13	0	0	0	0	0	0	0	0	0	0
Granulicatella elegans	0	5	0	0	0	21	10	0	21	131	17	6
Jeotgalibaca arthritidis	0	9	0	0	0	0	36	53	0	0	0	15
Ignavigranum ruoffiae	0	14	0	0	0	9	0	0	6	0	0	0
Facklamia hominis	0	7	0	0	0	9	0	0	0	0	0	0
Bacillus sp. 1P10SD	0	52	0	0	0	0	0	49	0	0	0	119
Bacillus sp. N5-665	0	28	0	0	0	0	0	0	0	0	0	0
Sutcliffiella horikoshii	0	57	0	0	9	59	0	0	11	8	16	19
Neobacillus sp. YX16	0	18	0	0	0	0	0	0	0	0	0	63
Neobacillus sp. OS1-2	0	17	0	0	0	0	0	0	0	0	0	0
Neobacillus sp. PS3-12	0	9	0	0	0	0	0	6	0	0	0	0
Niallia sp. RD1	0	28	21	0	0	0	0	0	0	0	0	7
Metabacillus halosaccharovorans	0	15	0	0	0	0	0	0	0	0	0	0
Amphibacillus xylanus	0	5	0	0	0	0	0	13	0	0	0	0
Oceanobacillus sp. FSL K6-2867	0	14	0	0	0	0	0	0	0	0	0	0
Anaerobacillus isosaccharinicus	0	16	9	6	0	0	0	0	0	0	0	0
Mesobacillus sp. AQ2	0	6	0	0	23	0	9	0	0	0	0	0
Salipaludibacillus sp. HK11	0	7	0	13	0	9	0	29	0	0	80	0
Terribacillus saccharophilus	0	5	0	0	0	0	0	0	0	0	0	0
Gottfriedia acidiceleris	0	6	0	0	0	0	0	0	0	0	0	0
Tepidibacillus marianensis	0	5	12	0	11	13	6	0	0	0	6	0
Shouchella clausii	0	6	0	0	0	0	0	0	0	0	0	0
Paenibacillus sp. R14(2021)	0	14	0	0	0	0	0	0	0	0	17	0
Paenibacillus sp. D2_2	0	8	0	0	0	0	0	0	0	0	0	0
Paenibacillus baekrokdamisoli	0	19	5	0	0	0	0	7	5	0	0	0
Paenibacillus kyungheensis	0	55	0	0	0	19	0	33	0	0	0	196
Paenibacillus xylanexedens	0	66	0	0	0	0	0	0	0	0	0	0
Paenibacillus silvisoli	0	8	0	0	0	0	0	0	0	0	0	0
Paenibacillus algicola	0	6	0	0	0	0	0	7	15	21	0	0
Brevibacillus brevis	0	27	0	0	57	0	58	58	10	29	41	0
Thermobacillus composti	0	21	0	0	0	0	0	13	0	9	12	45
Staphylococcus sp. LKG3-3	0	77	0	0	0	0	0	0	0	0	0	0
Staphylococcus debuckii	0	11	0	0	0	17	6	0	56	5	16	0
Staphylococcus epidermidis	0	9	0	0	0	0	18	7	20	13	0	9
Mammaliicoccus sciuri	0	24	0	0	7	57	10	24	10	5	0	67
Planococcus versutus	0	6	0	26	0	17	0	18	0	0	0	0
Listeria sp. PSOL-1	0	8	0	0	5	0	0	5	0	0	0	37
Listeria weihenstephanensis	0	8	0	0	0	0	0	0	0	0	0	0
Laceyella sacchari	0	5	0	0	0	0	0	0	0	0	0	0
Sporolactobacillus terrae	0	7	13	7	0	6	0	8	0	0	0	0
Dialister hominis	0	301	0	0	22	0	0	0	922	1014	60	58486
Megamonas funiformis	0	12	26	0	65171	30304	0	9	45	10	6	0
Selenobaculum gibii	0	10	846	34	7	26	0	18	0	0	0	6
Pelosinus sp. UFO1	0	5	0	0	0	10	0	0	0	0	0	0
Acidaminococcus intestini	0	11	7	7	39	5	12	23	2895	1120	9	44
Anaerococcus vaginalis	0	22	42	0	0	36	0	0	0	0	213	86
Anaerococcus obesiensis	0	19	46	0	24	0	15	91	8	8	252	105
Tissierella sp. MB52-C2	0	6	11	0	0	5	10	0	0	0	0	0
Sedimentibacter sp. zth1	0	18	7	21	6	8	12	36	86	14	0	0
Ezakiella coagulans	0	17	6	0	401	0	0	0	0	21	632	17
Caldicellulosiruptor owensensis	0	30	0	0	13	0	0	14	0	0	0	0
Bifidobacterium scardovii	0	17	0	0	0	0	0	0	0	0	5	0
Bifidobacterium thermophilum	0	5	0	0	33	19	6	6	0	0	6	21
Streptomyces venezuelae	0	10	0	0	0	0	6	0	0	0	11	16
Streptomyces sp. enrichment culture	0	11	0	0	0	7	23	0	0	0	0	0
Rothia dentocariosa	0	7	5	9	8	9	0	0	10	24	31	12
Paenarthrobacter nitroguajacolicus	0	21	0	0	0	0	0	0	0	0	0	0
Microbacterium schleiferi	0	13	0	0	0	0	0	0	0	0	0	0
Mycobacterium sp. JS623	0	38	0	0	0	0	0	0	0	0	0	6
Actinomyces oris	0	8	0	8	0	0	0	0	0	31	0	0
Arcanobacterium haemolyticum	0	14	17	0	33	5	27	7	0	9	5	12
Changpingibacter yushuensis	0	6	0	0	0	0	0	6	0	0	0	0
Kibdelosporangium phytohabitans	0	11	0	0	0	0	0	0	0	0	0	0
Nakamurella antarctica	0	5	0	0	0	0	6	0	0	0	0	0
Parolsenella massiliensis	0	7	0	0	18	0	21	28	18	54	22	12
Parolsenella catena	0	6	0	0	0	0	9	11	96	194	18	27
Eggerthella sp. YY7918	0	7	0	0	0	0	9	6	0	0	123	54
Candidatus Poriferisodalis sp.	0	7	0	0	0	8	10	8	7	13	0	23
Mycoplasma sp. P36-A1	0	25	10	0	10	12	17	34	0	0	0	0
Candidatus Izimoplasma sp. HR1	0	20	8	0	0	0	0	0	0	0	0	0
Candidatus Phytoplasma australiense	0	9	0	0	0	7	0	0	0	0	0	0
Mycoplasmopsis agalactiae	0	9	0	0	13	0	0	0	0	0	0	0
Mesomycoplasma ovipneumoniae	0	13	28	13	6	0	0	0	13	0	0	0
Metamycoplasma buccale	0	10	0	0	0	0	0	0	6	8	0	0
Malacoplasma penetrans	0	5	0	0	51	0	8	0	0	0	0	0
Candidatus Chlorohelix allophototropha	0	14	0	0	0	0	0	0	0	7	0	63
Fusobacterium mortiferum	0	11	0	0	0	14	0	9	0	0	0	0
Fusobacterium varium	0	20	0	0	0	22	7	0	11	0	23	50
Fusobacterium vincentii	0	46	0	0	0	0	0	0	0	0	0	0
Candidatus Absconditicoccus praedator	0	6	0	0	0	0	0	0	0	0	0	0
Jonquetella anthropi	0	7	0	0	5	0	0	18	0	17	45	16
Cloacibacillus evryensis	0	24	0	0	7	98	2508	117	0	0	113	14
Oceanithermus profundus	0	7	0	0	0	0	0	9	8	6	0	0
Methanobrevibacter sp. TLL-48-HuF1	0	1094	0	0	0	2047	2736	3190	0	0	0	0
Methanobrevibacter sp. DSM 116169	0	8	0	0	0	0	34	25	0	0	0	0
Methanobrevibacter sp. YE315	0	7	0	11	0	6	29	48	5	9	0	10
Methanobrevibacter intestini	0	548	0	0	0	2543	2032	3156	0	0	0	0
Methanobrevibacter acididurans	0	15	0	0	0	34	38	58	0	0	0	0
Methanobrevibacter millerae	0	11	0	0	0	0	42	48	0	0	0	0
Methanobrevibacter olleyae	0	7	0	0	0	9	26	34	0	0	0	0
Methanosphaera stadtmanae	0	4388	0	0	0	2093	0	0	367	137	0	0
Methanothermococcus thermolithotrophicus	0	9	0	5	0	0	0	0	0	0	0	0
Methanocaldococcus sp. FS406-22	0	5	0	5	0	0	0	0	0	6	0	0
Methanosarcina vacuolata	0	10	0	0	0	0	0	0	0	0	0	0
Acidianus brierleyi	0	6	0	0	0	0	0	0	0	0	0	0
Delmidovirus intestinihominis	0	16885	0	0	0	0	0	0	0	0	0	0
Delmidovirus splanchnicus	0	9218	0	0	0	22	0	12	0	0	0	0
Delmidovirus copri	0	105	0	0	0	0	0	0	0	0	0	0
Jahgtovirus gastrointestinalis	0	10	26571	35078	5300	6	0	0	0	0	0	0
Cohcovirus splanchnicus	0	1573	0	0	0	79	0	423	6	0	30671	7303
Cohcovirus hiberniae	0	1218	0	0	0	43	0	0	0	0	6261	1565
Culoivirus intestinalis	0	27	0	0	0	0	0	9032	0	0	169	53
Culoivirus faecalis	0	9	0	0	0	0	0	21425	0	0	0	0
Culoivirus americanus	0	8	0	0	0	0	0	11546	0	0	0	0
Canhaevirus hiberniae	0	13	0	0	0	939	0	0	0	0	2204	1302
Aurodevirus hiberniae	0	204	16	48	0	0	0	0	0	0	0	0
Caudoviricetes sp. vir080	0	66	0	0	0	8	0	0	0	0	0	0
Lughvirus lugh	0	11	0	0	20	0	94	8	0	14	0	0
Oengusvirus oengus	0	7	0	0	0	0	18	0	0	0	0	0
Taranisvirus taranis	0	11	0	0	24	375	452	87	14	40	0	0
Bacteroides sp. BFG-638	0	0	440	0	0	0	0	0	0	0	0	0
Candidatus Bacteroides intestinigallinarum	0	0	581	0	0	0	0	0	0	0	0	0
Segatella baroniae	0	0	100	118	276	264	180	16	2627	1512	0	0
Prevotella histicola	0	0	47	50	5	13	131	487	300	416	5	6
Chryseobacterium sp. CBSDS_008	0	0	26	0	0	8	0	0	0	0	0	0
Chryseobacterium arthrosphaerae	0	0	20	0	0	0	23	0	12	0	0	0
Chryseobacterium camelliae	0	0	8	7	0	0	0	0	21	5	0	0
Flavobacterium sp. I3-2	0	0	33	0	0	0	0	0	0	0	0	0
Tenacibaculum insulae	0	0	48	53	0	0	0	0	0	0	0	0
Polaribacter batillariae	0	0	22	14	0	0	0	0	0	0	0	8
Polaribacter marinivivus	0	0	20	0	0	0	0	0	0	0	0	0
Algibacter lectus	0	0	26	0	0	0	18	8	22	13	0	16
Zunongwangia sp. HGR-M22	0	0	29	0	0	0	0	0	0	0	0	0
Psychroflexus torquis	0	0	25	0	9	5	0	0	0	0	0	0
Winogradskyella sp. R77965	0	0	13	0	0	0	0	0	0	5	0	0
Changchengzhania lutea	0	0	21	0	0	7	0	0	0	0	0	0
Aureibaculum algae	0	0	16	0	0	11	0	6	0	5	33	74
